id,titulo,preco,linkproduto,thumby
MLB1937371927, Moto G10 Dual Sim 64 Gb Cinza-aurora 4 Gb Ram,1211,https://www.mercadolivre.com.br/moto-g10-dual-sim-64-gb-cinza-aurora-4-gb-ram/p/MLB17772670,http://http2.mlstatic.com/D_682915-MLA46570113571_062021-I.jpg
MLB1936067751, Moto G10 Dual Sim 64 Gb Branco-floral 4 Gb Ram,1199,https://www.mercadolivre.com.br/moto-g10-dual-sim-64-gb-branco-floral-4-gb-ram/p/MLB17772671,http://http2.mlstatic.com/D_987564-MLA46570038881_062021-I.jpg
MLB1949845885, Moto G10 Dual Sim 128 Gb Cinza-aurora 4 Gb Ram,1355,https://www.mercadolivre.com.br/moto-g10-dual-sim-128-gb-cinza-aurora-4-gb-ram/p/MLB17772672,http://http2.mlstatic.com/D_672399-MLA46570244198_062021-I.jpg
MLB1984098375, Moto G10 Dual Sim 128 Gb Branco-floral 4 Gb Ram,1389,https://www.mercadolivre.com.br/moto-g10-dual-sim-128-gb-branco-floral-4-gb-ram/p/MLB17772673,http://http2.mlstatic.com/D_755462-MLA46570244213_062021-I.jpg
MLB1927892137,Smartphone Motorola Moto G10 64 Gb 6.5  Cinza Aurora,2099,https://produto.mercadolivre.com.br/MLB-1927892137-smartphone-motorola-moto-g10-64-gb-65-cinza-aurora-_JM,http://http2.mlstatic.com/D_758679-MLB46510249169_062021-O.jpg
MLB1978276457,Smartphone Motorola G10 Power 64gb 4gb Ram Aurora Grey + Nf,1369,https://produto.mercadolivre.com.br/MLB-1978276457-smartphone-motorola-g10-power-64gb-4gb-ram-aurora-grey-nf-_JM,http://http2.mlstatic.com/D_802955-MLB47074374658_082021-O.jpg
MLB1791235980,Smartphone Moto G10 Tl6.5 64gb 4gb Ram Brco Floral Motorola,1234,https://produto.mercadolivre.com.br/MLB-1791235980-smartphone-moto-g10-tl65-64gb-4gb-ram-brco-floral-motorola-_JM,http://http2.mlstatic.com/D_919445-MLB45159563770_032021-O.jpg
MLB1922650801,Moto G10 128 Gb Aurora-grey 4 Gb Ram,1439,https://produto.mercadolivre.com.br/MLB-1922650801-moto-g10-128-gb-aurora-grey-4-gb-ram-_JM,http://http2.mlstatic.com/D_695322-MLB46451285371_062021-O.jpg
MLB1838138944,Smartphone Motorola Moto G10 64gb 4gbram Tela 6.5 Android 11,1247.1,https://produto.mercadolivre.com.br/MLB-1838138944-smartphone-motorola-moto-g10-64gb-4gbram-tela-65-android-11-_JM,http://http2.mlstatic.com/D_724118-MLB45369027837_032021-O.jpg
MLB1935512847, Moto G10 Dual Sim 64gb Cinza Aurora 4 Gb Ram,1299,https://produto.mercadolivre.com.br/MLB-1935512847-moto-g10-dual-sim-64gb-cinza-aurora-4-gb-ram-_JM,http://http2.mlstatic.com/D_678326-MLB47045116215_082021-O.jpg
MLB1887482044,Smartphone Motorola Moto G10 128gb 4gb Ram Cinza Aurora,1389,https://produto.mercadolivre.com.br/MLB-1887482044-smartphone-motorola-moto-g10-128gb-4gb-ram-cinza-aurora-_JM,http://http2.mlstatic.com/D_713188-MLB46038826797_052021-O.jpg
MLB1840140781,Motorola Moto G10 64gb Câm 48mp Tela 6.5- Branco Floral,1189,https://produto.mercadolivre.com.br/MLB-1840140781-motorola-moto-g10-64gb-cm-48mp-tela-65-branco-floral-_JM,http://http2.mlstatic.com/D_825519-MLB45389155640_032021-I.jpg
MLB1857365517,"Celular Motorola Moto G10 64gb Tela 6,5 Camera 48 Mp Branco ",1199,https://produto.mercadolivre.com.br/MLB-1857365517-celular-motorola-moto-g10-64gb-tela-65-camera-48-mp-branco-_JM,http://http2.mlstatic.com/D_869667-MLB45586176000_042021-O.jpg
MLB1840132639,Motorola Moto G10 64gb Câm. 48mp Tela 6.5 - Cinza Aurora,1319,https://produto.mercadolivre.com.br/MLB-1840132639-motorola-moto-g10-64gb-cm-48mp-tela-65-cinza-aurora-_JM,http://http2.mlstatic.com/D_992384-MLB45389096839_032021-I.jpg
MLB1834913158,Celular Motorola Moto G10 Cinza Aurora 64gb Tela 6.5 4gb Ram,1699,https://produto.mercadolivre.com.br/MLB-1834913158-celular-motorola-moto-g10-cinza-aurora-64gb-tela-65-4gb-ram-_JM,http://http2.mlstatic.com/D_851672-MLB45332689381_032021-I.jpg
